image,dilution,dilution_label,tile_idx,position_y,position_x,architecture,density_threshold_0.2,density_threshold_0.5,density_threshold_0.8,density_threshold_0.95,density_clahe_otsu_pred,density_clahe_otsu_orig
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,22,1536,512,Attention_ResUNet,0.0010528564453125,0.000263214111328125,0.0,0.0,0.7516212463378906,0.4920005798339844
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,23,1536,1024,UNet,0.00269317626953125,0.00051116943359375,3.4332275390625e-05,0.0,0.683807373046875,0.5188179016113281
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,23,1536,1024,Attention_UNet,0.00524139404296875,0.0003662109375,0.0,0.0,0.7665252685546875,0.5188179016113281
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,23,1536,1024,Attention_ResUNet,0.001312255859375,0.000396728515625,0.0,0.0,0.4000091552734375,0.5188179016113281
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,24,1536,1536,UNet,0.00257110595703125,0.00049591064453125,3.814697265625e-06,0.0,0.64605712890625,0.47408294677734375
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,24,1536,1536,Attention_UNet,0.003910064697265625,0.00035858154296875,0.0,0.0,0.711700439453125,0.47408294677734375
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,24,1536,1536,Attention_ResUNet,0.00118255615234375,0.00034332275390625,0.0,0.0,0.9821014404296875,0.47408294677734375
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,25,1536,2048,UNet,0.002002716064453125,0.000423431396484375,0.0,0.0,0.6595230102539062,0.45099639892578125
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,25,1536,2048,Attention_UNet,0.00194549560546875,0.000335693359375,0.0,0.0,0.7408790588378906,0.45099639892578125
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,25,1536,2048,Attention_ResUNet,0.00106048583984375,0.000331878662109375,0.0,0.0,0.9797401428222656,0.45099639892578125
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,26,1536,2560,UNet,0.002437591552734375,0.00060272216796875,3.814697265625e-06,0.0,0.6890602111816406,0.5150375366210938
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,26,1536,2560,Attention_UNet,0.003204345703125,0.000453948974609375,0.0,0.0,0.5511322021484375,0.5150375366210938
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,26,1536,2560,Attention_ResUNet,0.0014801025390625,0.00045013427734375,0.0,0.0,0.9770774841308594,0.5150375366210938
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,27,1536,3072,UNet,0.0023651123046875,0.000621795654296875,0.0,0.0,0.6864471435546875,0.5108222961425781
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,27,1536,3072,Attention_UNet,0.00384521484375,0.00055694580078125,0.0,0.0,0.30986785888671875,0.5108222961425781
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,27,1536,3072,Attention_ResUNet,0.001499176025390625,0.00042724609375,0.0,0.0,0.9675865173339844,0.5108222961425781
