image,dilution,dilution_label,tile_idx,position_y,position_x,density
320x_2025-05-15_02-05-00.tif,320,320x,12,512,2560,0.083805084
320x_2025-05-15_02-05-00.tif,320,320x,13,512,3072,0.08831787
320x_2025-05-15_02-05-00.tif,320,320x,14,1024,0,0.12067795
320x_2025-05-15_02-05-00.tif,320,320x,15,1024,512,0.093803406
320x_2025-05-15_02-05-00.tif,320,320x,16,1024,1024,0.083789825
320x_2025-05-15_02-05-00.tif,320,320x,17,1024,1536,0.07745743
320x_2025-05-15_02-05-00.tif,320,320x,18,1024,2048,0.075984955
320x_2025-05-15_02-05-00.tif,320,320x,19,1024,2560,0.06952667
320x_2025-05-15_02-05-00.tif,320,320x,20,1024,3072,0.0838356
320x_2025-05-15_02-05-00.tif,320,320x,21,1536,0,0.12933731
320x_2025-05-15_02-05-00.tif,320,320x,22,1536,512,0.097724915
320x_2025-05-15_02-05-00.tif,320,320x,23,1536,1024,0.09103775
320x_2025-05-15_02-05-00.tif,320,320x,24,1536,1536,0.078567505
320x_2025-05-15_02-05-00.tif,320,320x,25,1536,2048,0.08644867
320x_2025-05-15_02-05-00.tif,320,320x,26,1536,2560,0.07731247
320x_2025-05-15_02-05-00.tif,320,320x,27,1536,3072,0.09492493
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,0,0,0,0.0075531006
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,1,0,512,0.005001068
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,2,0,1024,0.0046577454
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,3,0,1536,0.0052108765
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,4,0,2048,0.003768921
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,5,0,2560,0.0028800964
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,6,0,3072,0.0037384033
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,7,512,0,0.011577606
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,8,512,512,0.005126953
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,9,512,1024,0.0055656433
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,10,512,1536,0.0062561035
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,11,512,2048,0.005859375
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,12,512,2560,0.0053634644
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,13,512,3072,0.0047683716
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,14,1024,0,0.008865356
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,15,1024,512,0.007499695
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,16,1024,1024,0.0065345764
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,17,1024,1536,0.0058898926
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,18,1024,2048,0.0048103333
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,19,1024,2560,0.005104065
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,20,1024,3072,0.004135132
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,21,1536,0,0.008289337
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,22,1536,512,0.007637024
