image,dilution,dilution_label,tile_idx,position_y,position_x,density_threshold,density_clahe_otsu_pred,density_clahe_otsu_orig
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,9,512,1024,0.0029029846,0.6559524536132812,0.4841804504394531
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,10,512,1536,0.002670288,0.7905426025390625,0.4873085021972656
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,11,512,2048,0.0015296936,0.7366828918457031,0.5883750915527344
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,12,512,2560,0.0032806396,0.7419815063476562,0.6074371337890625
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,13,512,3072,0.0035133362,0.6549224853515625,0.5308341979980469
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,14,1024,0,0.0034370422,0.7365531921386719,0.5844268798828125
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,15,1024,512,0.0015106201,0.65936279296875,0.491455078125
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,16,1024,1024,0.0021438599,0.7410659790039062,0.5646438598632812
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,17,1024,1536,0.0038490295,0.7199592590332031,0.48128509521484375
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,18,1024,2048,0.003162384,0.8096084594726562,0.604156494140625
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,19,1024,2560,0.0033950806,0.9630241394042969,0.5089340209960938
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,20,1024,3072,0.0040359497,0.7752876281738281,0.5638427734375
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,21,1536,0,0.0022506714,0.7332572937011719,0.5415000915527344
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,22,1536,512,0.0028419495,0.7239151000976562,0.5524749755859375
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,23,1536,1024,0.0012130737,0.6512985229492188,0.5008811950683594
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,24,1536,1536,0.0018920898,0.6945838928222656,0.5541458129882812
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,25,1536,2048,0.002735138,0.684051513671875,0.4824676513671875
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,26,1536,2560,0.0039520264,0.7394447326660156,0.5769615173339844
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,27,1536,3072,0.0031547546,0.80792236328125,0.6100540161132812
320x_2025-05-15_02-05-00.tif,320,320x,0,0,0,0.17082596,0.677978515625,0.7427825927734375
320x_2025-05-15_02-05-00.tif,320,320x,1,0,512,0.11412048,0.7237739562988281,0.8281745910644531
320x_2025-05-15_02-05-00.tif,320,320x,2,0,1024,0.112716675,0.7220802307128906,0.8265342712402344
320x_2025-05-15_02-05-00.tif,320,320x,3,0,1536,0.10053635,0.7469673156738281,0.8389663696289062
320x_2025-05-15_02-05-00.tif,320,320x,4,0,2048,0.09215164,0.7801628112792969,0.8495101928710938
320x_2025-05-15_02-05-00.tif,320,320x,5,0,2560,0.09078598,0.77813720703125,0.8481025695800781
